domain,bias_score,factually_questionable_flag,propaganda_flag,conspiracy_flag,hate_group_flag,satire_flag
callthecops.net,NaN,0,0,0,0,1
calmatters.org,0,0,0,0,0,0
calwatchdog.com,0,0,0,0,0,0
campaignforliberty.org,1,0,0,0,0,0
campaignlifecoalition.com,2,0,0,0,0,0
campusreform.org,2,0,0,0,0,0
canadafactcheck.ca,-2,0,0,0,0,0
canadafreepress.com,3,1,1,0,0,0
canadalandshow.com,-1,0,0,0,0,0
canadiandimension.com,-2,0,0,0,0,0
canadians.org,-1,0,0,0,0,0
canyoncountryzephyr.com,-2,0,0,0,0,0
cap-news.com,NaN,1,0,0,0,0
capecodtimes.com,0,0,0,0,0,0
capitalandmain.com,-2,0,0,0,0,0
capitalgazette.com,-1,0,0,0,0,0
capitalismmagazine.com,1,0,0,0,0,0
capitalresearch.org,2,0,0,0,0,0
capitolfax.com,0,0,0,0,0,0
capoliticalreview.com,1,0,0,0,0,0
care2.com,-2,0,0,0,0,0
carepublican.com,2,0,0,0,0,0
caribbeanlifenews.com,-1,0,0,0,0,0
carm.org,3,1,0,1,0,0
carnegieendowment.org,-1,0,0,0,0,0
carolinapublicpress.org,-1,0,0,0,0,0
castanet.net,0,0,0,0,0,0
catchnews.com,-1,0,0,0,0,0
catholic.org,3,1,0,1,0,0
cato.org,1,0,0,0,0,0
cbc.ca,-1,0,0,0,0,0
cbn.com,2,1,0,1,0,0
cbo.gov,0,0,0,0,0,0
cbpp.org,-1,0,0,0,0,0
cbs12.com,1,0,0,0,0,0
cbsnews.com,-1,0,0,0,0,0
cc.org,2,0,0,0,0,0
ccn.com,1,0,0,0,0,0
cdc.gov,0,0,0,0,0,0
cdt.org,0,0,0,0,0,0
ced.org,0,0,0,0,0,0
cei.org,3,1,0,0,0,0
celebtricity.com,NaN,0,0,0,0,1
centerforinquiry.org,-1,0,0,0,0,0
centerforsecuritypolicy.org,3,1,0,0,1,0
centralkynews.com,-1,0,0,0,0,0
centre-view.com,-1,0,0,0,0,0
cepr.net,-1,0,0,0,0,0
cernovich.com,3,1,0,0,0,0
cfact.org,3,1,0,1,0,0
cfr.org,0,0,0,0,0,0
cftni.org,1,0,0,0,0,0
cgdev.org,-1,0,0,0,0,0
change.org,-2,0,0,0,0,0
channel4.com,-1,0,0,0,0,0
channelnewsasia.com,0,0,0,0,0,0
charismanews.com,3,1,0,1,0,0
charitynavigator.org,0,0,0,0,0,0
charlotteobserver.com,-1,0,0,0,0,0
chaser.com.au,NaN,0,0,0,0,1
checkpointasia.net,3,1,1,0,0,0
checkyourfact.com,1,0,0,0,0,0
cheddar.com,0,0,0,0,0,0
chicago.suntimes.com,-1,0,0,0,0,0
chicagodaily.pro,3,1,1,0,0,0
chicagoreader.com,-2,0,0,0,0,0
chicagoreporter.com,-2,0,0,0,0,0
chicagotribune.com,0,0,0,0,0,0
chicksonright.com,2,0,0,0,0,0
childrenshealthdefense.org,NaN,1,1,1,0,0
china.org.cn,-3,0,1,0,0,0
chinaafricaproject.com,-1,0,0,0,0,0
chinadaily.com.cn,-3,1,1,0,0,0
chinapost.com.tw,0,0,0,0,0,0
chinookobserver.com,0,0,0,0,0,0
christianaction.org,3,1,0,0,1,0
christianheadlines.com,2,0,0,0,0,0
christianitytoday.com,1,0,0,0,0,0
christiannewsalerts.com,2,0,0,0,0,0
christianpost.com,2,0,0,0,0,0
christianscience.com,3,1,0,1,0,0
christiantoday.com,2,0,0,0,0,0
chronicle.augusta.com,1,0,0,0,0,0
chronicle.com,0,0,0,0,0,0
chronicle.su,NaN,0,0,0,0,1
chroniclesmagazine.org,2,0,0,0,0,0
chroniclesofdemocracy.com,-2,0,0,0,0,0
churchmilitant.com,3,1,0,0,1,0
cincinnati.com,0,0,0,0,0,0
citizen-times.com,-1,0,0,0,0,0
citizen.co.za,1,0,0,0,0,0
citizen.org,-1,0,0,0,0,0
citizencritics.org,-2,0,0,0,0,0
citizenfreepress.com,2,0,0,0,0,0
citizensforethics.org,-1,0,0,0,0,0
citizensunited.org,2,0,0,0,0,0
citizentruth.org,-1,0,0,0,0,0
city-journal.org,2,0,0,0,0,0
cityandstateny.com,0,0,0,0,0,0
citypages.com,-1,0,0,0,0,0
civictribune.com,NaN,0,0,0,0,1
civilbeat.org,0,0,0,0,0,0
cjnews.com,1,0,0,0,0,0
cjonline.com,1,0,0,0,0,0
cjr.org,0,0,0,0,0,0
claremont.org,2,0,0,0,0,0
clarionproject.org,3,1,0,0,1,0
